device = cuda
=== DeepLDA with D=150 ===
[01] train loss=7.0455 acc=0.0861 | test acc=0.1423
[02] train loss=-5.9786 acc=0.1873 | test acc=0.1905
[03] train loss=-18.5455 acc=0.2637 | test acc=0.2633
[04] train loss=-30.7354 acc=0.3272 | test acc=0.3206
[05] train loss=-42.4891 acc=0.3820 | test acc=0.3212
[06] train loss=-53.6487 acc=0.4287 | test acc=0.3663
[07] train loss=-64.1888 acc=0.4704 | test acc=0.4192
[08] train loss=-73.9943 acc=0.5052 | test acc=0.4519
[09] train loss=-82.9916 acc=0.5312 | test acc=0.4716
[10] train loss=-91.2578 acc=0.5600 | test acc=0.5216
[11] train loss=-98.5499 acc=0.5787 | test acc=0.4817
[12] train loss=-105.0816 acc=0.5968 | test acc=0.5408
[13] train loss=-110.6875 acc=0.6147 | test acc=0.5533
[14] train loss=-115.4973 acc=0.6307 | test acc=0.5618
[15] train loss=-119.4629 acc=0.6457 | test acc=0.5561
[16] train loss=-122.9261 acc=0.6555 | test acc=0.5887
[17] train loss=-125.6581 acc=0.6694 | test acc=0.5855
[18] train loss=-128.1076 acc=0.6809 | test acc=0.6031
[19] train loss=-130.3117 acc=0.6912 | test acc=0.6061
[20] train loss=-132.3755 acc=0.7037 | test acc=0.5974
[21] train loss=-134.0405 acc=0.7114 | test acc=0.6140
[22] train loss=-135.7981 acc=0.7223 | test acc=0.6133
[23] train loss=-137.2122 acc=0.7290 | test acc=0.6125
[24] train loss=-138.5783 acc=0.7365 | test acc=0.6264
[25] train loss=-140.1348 acc=0.7441 | test acc=0.6300
[26] train loss=-141.4855 acc=0.7529 | test acc=0.6368
[27] train loss=-142.5142 acc=0.7579 | test acc=0.6317
[28] train loss=-144.0077 acc=0.7644 | test acc=0.6385
[29] train loss=-144.7019 acc=0.7660 | test acc=0.6324
[30] train loss=-145.9912 acc=0.7731 | test acc=0.6320
[31] train loss=-147.2131 acc=0.7774 | test acc=0.6351
[32] train loss=-148.0580 acc=0.7832 | test acc=0.6400
[33] train loss=-149.2944 acc=0.7876 | test acc=0.6379
[34] train loss=-149.9311 acc=0.7909 | test acc=0.6486
[35] train loss=-150.8428 acc=0.7943 | test acc=0.6433
[36] train loss=-151.7696 acc=0.7984 | test acc=0.6479
[37] train loss=-152.8601 acc=0.8033 | test acc=0.6418
[38] train loss=-153.7609 acc=0.8078 | test acc=0.6470
[39] train loss=-154.5476 acc=0.8104 | test acc=0.6512
[40] train loss=-155.1975 acc=0.8131 | test acc=0.6453
[41] train loss=-156.2494 acc=0.8177 | test acc=0.6506
[42] train loss=-157.1030 acc=0.8207 | test acc=0.6503
[43] train loss=-157.3758 acc=0.8210 | test acc=0.6436
[44] train loss=-158.4028 acc=0.8269 | test acc=0.6544
[45] train loss=-159.1005 acc=0.8282 | test acc=0.6514
[46] train loss=-159.8252 acc=0.8305 | test acc=0.6510
[47] train loss=-160.7269 acc=0.8358 | test acc=0.6527
[48] train loss=-161.3307 acc=0.8354 | test acc=0.6560
[49] train loss=-162.0714 acc=0.8393 | test acc=0.6490
[50] train loss=-162.5169 acc=0.8417 | test acc=0.6435
[51] train loss=-162.9866 acc=0.8421 | test acc=0.6510
[52] train loss=-163.9969 acc=0.8453 | test acc=0.6499
[53] train loss=-164.3299 acc=0.8469 | test acc=0.6545
[54] train loss=-164.9017 acc=0.8500 | test acc=0.6525
[55] train loss=-165.8857 acc=0.8522 | test acc=0.6534
[56] train loss=-166.2624 acc=0.8542 | test acc=0.6515
[57] train loss=-166.8286 acc=0.8558 | test acc=0.6544
[58] train loss=-167.5722 acc=0.8585 | test acc=0.6517
[59] train loss=-167.9193 acc=0.8588 | test acc=0.6498
[60] train loss=-168.0022 acc=0.8596 | test acc=0.6507
[61] train loss=-169.1158 acc=0.8629 | test acc=0.6562
[62] train loss=-169.5484 acc=0.8649 | test acc=0.6469
[63] train loss=-170.0944 acc=0.8638 | test acc=0.6540
[64] train loss=-170.5695 acc=0.8665 | test acc=0.6524
[65] train loss=-170.9800 acc=0.8685 | test acc=0.6546
[66] train loss=-171.7042 acc=0.8728 | test acc=0.6570
[67] train loss=-172.0666 acc=0.8731 | test acc=0.6542
[68] train loss=-172.4719 acc=0.8743 | test acc=0.6554
[69] train loss=-172.8427 acc=0.8734 | test acc=0.6424
[70] train loss=-173.3794 acc=0.8770 | test acc=0.6517
[71] train loss=-173.8421 acc=0.8792 | test acc=0.6529
[72] train loss=-174.2084 acc=0.8790 | test acc=0.6537
[73] train loss=-175.4962 acc=0.8831 | test acc=0.6509
[74] train loss=-175.1620 acc=0.8810 | test acc=0.6522
[75] train loss=-175.7590 acc=0.8842 | test acc=0.6517
[76] train loss=-176.2403 acc=0.8845 | test acc=0.6533
[77] train loss=-177.0729 acc=0.8884 | test acc=0.6521
[78] train loss=-177.1188 acc=0.8861 | test acc=0.6551
[79] train loss=-177.5155 acc=0.8879 | test acc=0.6525
[80] train loss=-178.0209 acc=0.8916 | test acc=0.6524
[81] train loss=-178.3891 acc=0.8912 | test acc=0.6526
[82] train loss=-178.7150 acc=0.8919 | test acc=0.6527
[83] train loss=-179.3211 acc=0.8929 | test acc=0.6497
[84] train loss=-179.6782 acc=0.8948 | test acc=0.6489
[85] train loss=-180.2870 acc=0.8951 | test acc=0.6537
[86] train loss=-180.3374 acc=0.8955 | test acc=0.6528
[87] train loss=-180.5989 acc=0.8966 | test acc=0.6520
[88] train loss=-181.2747 acc=0.8993 | test acc=0.6509
[89] train loss=-181.4910 acc=0.8993 | test acc=0.6535
[90] train loss=-182.1717 acc=0.9000 | test acc=0.6562
[91] train loss=-181.9807 acc=0.9007 | test acc=0.6481
[92] train loss=-182.5181 acc=0.9000 | test acc=0.6459
[93] train loss=-182.8411 acc=0.9039 | test acc=0.6502
[94] train loss=-183.2471 acc=0.9035 | test acc=0.6580
[95] train loss=-183.7145 acc=0.9052 | test acc=0.6505
[96] train loss=-183.6676 acc=0.9035 | test acc=0.6556
[97] train loss=-184.4448 acc=0.9070 | test acc=0.6437
[98] train loss=-184.2511 acc=0.9048 | test acc=0.6556
[99] train loss=-184.4721 acc=0.9058 | test acc=0.6512
[100] train loss=-185.4175 acc=0.9081 | test acc=0.6512
=== DeepLDA with D=200 ===
[01] train loss=4.6592 acc=0.0956 | test acc=0.1416
[02] train loss=-13.3248 acc=0.1888 | test acc=0.1963
[03] train loss=-30.7739 acc=0.2652 | test acc=0.2655
[04] train loss=-47.8272 acc=0.3276 | test acc=0.3110
[05] train loss=-64.4225 acc=0.3805 | test acc=0.3224
[06] train loss=-80.3895 acc=0.4268 | test acc=0.3682
[07] train loss=-95.6980 acc=0.4663 | test acc=0.4407
[08] train loss=-110.2718 acc=0.5025 | test acc=0.4641
[09] train loss=-123.9410 acc=0.5325 | test acc=0.4686
[10] train loss=-136.8031 acc=0.5577 | test acc=0.4798
[11] train loss=-148.4547 acc=0.5768 | test acc=0.5130
[12] train loss=-159.0789 acc=0.5968 | test acc=0.5423
[13] train loss=-168.6735 acc=0.6142 | test acc=0.5386
[14] train loss=-176.9024 acc=0.6289 | test acc=0.5560
[15] train loss=-184.2540 acc=0.6443 | test acc=0.5616
[16] train loss=-190.3547 acc=0.6564 | test acc=0.5599
[17] train loss=-195.3494 acc=0.6677 | test acc=0.5941
[18] train loss=-199.8538 acc=0.6824 | test acc=0.6003
[19] train loss=-203.0660 acc=0.6914 | test acc=0.6129
[20] train loss=-206.4245 acc=0.7037 | test acc=0.5948
[21] train loss=-208.6574 acc=0.7109 | test acc=0.6080
[22] train loss=-211.4187 acc=0.7217 | test acc=0.6120
[23] train loss=-213.6213 acc=0.7281 | test acc=0.6266
[24] train loss=-215.7261 acc=0.7376 | test acc=0.6141
[25] train loss=-217.4476 acc=0.7416 | test acc=0.6255
[26] train loss=-219.0694 acc=0.7496 | test acc=0.6321
[27] train loss=-221.0154 acc=0.7556 | test acc=0.6368
[28] train loss=-222.5966 acc=0.7630 | test acc=0.6341
[29] train loss=-224.2850 acc=0.7656 | test acc=0.6354
[30] train loss=-225.5113 acc=0.7702 | test acc=0.6383
[31] train loss=-226.9971 acc=0.7757 | test acc=0.6412
[32] train loss=-228.5537 acc=0.7804 | test acc=0.6408
[33] train loss=-229.9233 acc=0.7855 | test acc=0.6435
[34] train loss=-231.0914 acc=0.7896 | test acc=0.6441
[35] train loss=-232.2341 acc=0.7929 | test acc=0.6416
[36] train loss=-233.6197 acc=0.7982 | test acc=0.6412
[37] train loss=-234.5425 acc=0.7998 | test acc=0.6498
[38] train loss=-235.3922 acc=0.8042 | test acc=0.6410
[39] train loss=-237.0658 acc=0.8079 | test acc=0.6442
[40] train loss=-237.8900 acc=0.8100 | test acc=0.6502
[41] train loss=-238.5945 acc=0.8128 | test acc=0.6431
[42] train loss=-239.9435 acc=0.8166 | test acc=0.6436
[43] train loss=-241.1795 acc=0.8197 | test acc=0.6462
[44] train loss=-241.8046 acc=0.8229 | test acc=0.6490
[45] train loss=-242.7707 acc=0.8260 | test acc=0.6443
[46] train loss=-244.0148 acc=0.8282 | test acc=0.6466
[47] train loss=-245.1115 acc=0.8317 | test acc=0.6459
[48] train loss=-245.3141 acc=0.8309 | test acc=0.6422
[49] train loss=-246.8555 acc=0.8354 | test acc=0.6493
[50] train loss=-247.8377 acc=0.8368 | test acc=0.6484
[51] train loss=-248.2367 acc=0.8390 | test acc=0.6480
[52] train loss=-248.9653 acc=0.8415 | test acc=0.6489
[53] train loss=-250.3122 acc=0.8442 | test acc=0.6488
[54] train loss=-250.5581 acc=0.8446 | test acc=0.6443
[55] train loss=-251.6325 acc=0.8472 | test acc=0.6495
[56] train loss=-252.6273 acc=0.8495 | test acc=0.6468
[57] train loss=-252.9717 acc=0.8501 | test acc=0.6464
[58] train loss=-253.6382 acc=0.8539 | test acc=0.6437
[59] train loss=-254.6086 acc=0.8570 | test acc=0.6487
[60] train loss=-255.4202 acc=0.8569 | test acc=0.6488
[61] train loss=-255.7009 acc=0.8567 | test acc=0.6465
[62] train loss=-256.6595 acc=0.8582 | test acc=0.6470
[63] train loss=-256.8579 acc=0.8595 | test acc=0.6494
[64] train loss=-257.9494 acc=0.8627 | test acc=0.6458
[65] train loss=-258.5542 acc=0.8640 | test acc=0.6443
[66] train loss=-258.9908 acc=0.8639 | test acc=0.6465
[67] train loss=-259.9475 acc=0.8669 | test acc=0.6474
[68] train loss=-260.0706 acc=0.8673 | test acc=0.6455
[69] train loss=-261.0244 acc=0.8694 | test acc=0.6493
[70] train loss=-262.0338 acc=0.8714 | test acc=0.6497
[71] train loss=-262.3909 acc=0.8727 | test acc=0.6469
[72] train loss=-262.7305 acc=0.8735 | test acc=0.6486
[73] train loss=-263.3728 acc=0.8765 | test acc=0.6460
[74] train loss=-264.2566 acc=0.8762 | test acc=0.6459
[75] train loss=-264.6822 acc=0.8775 | test acc=0.6463
[76] train loss=-264.6558 acc=0.8784 | test acc=0.6439
[77] train loss=-265.1868 acc=0.8781 | test acc=0.6527
[78] train loss=-266.0276 acc=0.8800 | test acc=0.6478
[79] train loss=-265.9087 acc=0.8804 | test acc=0.6397
[80] train loss=-267.2154 acc=0.8828 | test acc=0.6393
[81] train loss=-268.0168 acc=0.8831 | test acc=0.6407
[82] train loss=-268.4571 acc=0.8851 | test acc=0.6464
[83] train loss=-268.8280 acc=0.8874 | test acc=0.6498
[84] train loss=-269.0143 acc=0.8864 | test acc=0.6459
[85] train loss=-269.5776 acc=0.8887 | test acc=0.6450
[86] train loss=-271.0314 acc=0.8899 | test acc=0.6463
[87] train loss=-270.6130 acc=0.8912 | test acc=0.6400
[88] train loss=-271.3905 acc=0.8923 | test acc=0.6469
[89] train loss=-271.3595 acc=0.8914 | test acc=0.6467
[90] train loss=-271.7036 acc=0.8915 | test acc=0.6472
[91] train loss=-272.4693 acc=0.8940 | test acc=0.6446
[92] train loss=-273.5354 acc=0.8952 | test acc=0.6441
[93] train loss=-273.0947 acc=0.8938 | test acc=0.6398
[94] train loss=-273.7966 acc=0.8956 | test acc=0.6437
[95] train loss=-274.6329 acc=0.8959 | test acc=0.6452
[96] train loss=-274.7879 acc=0.8977 | test acc=0.6436
[97] train loss=-275.3991 acc=0.8977 | test acc=0.6452
[98] train loss=-275.1838 acc=0.8978 | test acc=0.6433
[99] train loss=-276.4981 acc=0.9000 | test acc=0.6476
[100] train loss=-276.5440 acc=0.9009 | test acc=0.6446
=== DeepLDA with D=250 ===
[01] train loss=2.2663 acc=0.0749 | test acc=0.1394
[02] train loss=-20.5539 acc=0.1667 | test acc=0.1700
[03] train loss=-42.8093 acc=0.2348 | test acc=0.2179
[04] train loss=-64.6859 acc=0.2997 | test acc=0.2897
[05] train loss=-86.0599 acc=0.3548 | test acc=0.3132
[06] train loss=-106.8310 acc=0.4024 | test acc=0.3790
[07] train loss=-126.9685 acc=0.4490 | test acc=0.4105
[08] train loss=-146.2187 acc=0.4870 | test acc=0.4498
[09] train loss=-164.6089 acc=0.5155 | test acc=0.4707
[10] train loss=-181.9998 acc=0.5428 | test acc=0.4621
[11] train loss=-198.1870 acc=0.5654 | test acc=0.5182
[12] train loss=-213.1026 acc=0.5870 | test acc=0.5324
[13] train loss=-226.9111 acc=0.6061 | test acc=0.5588
[14] train loss=-238.8883 acc=0.6190 | test acc=0.5346
[15] train loss=-249.7696 acc=0.6363 | test acc=0.5603
[16] train loss=-258.9947 acc=0.6484 | test acc=0.5777
[17] train loss=-266.9066 acc=0.6625 | test acc=0.5933
[18] train loss=-273.6801 acc=0.6736 | test acc=0.5923
[19] train loss=-278.7922 acc=0.6828 | test acc=0.5920
[20] train loss=-283.6919 acc=0.6943 | test acc=0.6120
[21] train loss=-287.6642 acc=0.7046 | test acc=0.6153
[22] train loss=-291.0275 acc=0.7142 | test acc=0.6007
[23] train loss=-293.6642 acc=0.7221 | test acc=0.6216
[24] train loss=-296.5215 acc=0.7288 | test acc=0.6256
[25] train loss=-299.1495 acc=0.7376 | test acc=0.6235
[26] train loss=-301.8354 acc=0.7469 | test acc=0.6337
[27] train loss=-303.9455 acc=0.7511 | test acc=0.6275
[28] train loss=-306.2881 acc=0.7569 | test acc=0.6359
[29] train loss=-307.9298 acc=0.7633 | test acc=0.6280
[30] train loss=-310.0936 acc=0.7696 | test acc=0.6279
[31] train loss=-311.8811 acc=0.7748 | test acc=0.6311
[32] train loss=-313.4532 acc=0.7779 | test acc=0.6251
[33] train loss=-315.1025 acc=0.7829 | test acc=0.6406
[34] train loss=-316.4545 acc=0.7864 | test acc=0.6390
[35] train loss=-318.2221 acc=0.7906 | test acc=0.6363
[36] train loss=-319.7208 acc=0.7942 | test acc=0.6420
[37] train loss=-321.4292 acc=0.8003 | test acc=0.6372
[38] train loss=-322.7930 acc=0.8028 | test acc=0.6467
[39] train loss=-324.4928 acc=0.8074 | test acc=0.6390
[40] train loss=-325.5795 acc=0.8091 | test acc=0.6401
[41] train loss=-327.1953 acc=0.8127 | test acc=0.6459
[42] train loss=-328.1218 acc=0.8138 | test acc=0.6413
[43] train loss=-329.0267 acc=0.8164 | test acc=0.6449
[44] train loss=-330.0762 acc=0.8197 | test acc=0.6452
[45] train loss=-331.9054 acc=0.8230 | test acc=0.6408
[46] train loss=-333.4032 acc=0.8268 | test acc=0.6448
[47] train loss=-334.2605 acc=0.8290 | test acc=0.6464
[48] train loss=-335.1321 acc=0.8309 | test acc=0.6487
[49] train loss=-336.6430 acc=0.8341 | test acc=0.6406
[50] train loss=-337.2681 acc=0.8357 | test acc=0.6469
[51] train loss=-338.0390 acc=0.8360 | test acc=0.6486
[52] train loss=-339.6798 acc=0.8417 | test acc=0.6414
[53] train loss=-340.7871 acc=0.8425 | test acc=0.6454
[54] train loss=-341.7930 acc=0.8459 | test acc=0.6457
[55] train loss=-341.6457 acc=0.8440 | test acc=0.6435
[56] train loss=-343.4813 acc=0.8488 | test acc=0.6439
[57] train loss=-344.5206 acc=0.8509 | test acc=0.6414
[58] train loss=-345.1542 acc=0.8532 | test acc=0.6463
[59] train loss=-345.9767 acc=0.8531 | test acc=0.6403
[60] train loss=-347.1420 acc=0.8566 | test acc=0.6385
[61] train loss=-347.6332 acc=0.8575 | test acc=0.6413
[62] train loss=-348.5644 acc=0.8595 | test acc=0.6451
[63] train loss=-349.6503 acc=0.8605 | test acc=0.6456
[64] train loss=-350.5902 acc=0.8620 | test acc=0.6448
[65] train loss=-351.6340 acc=0.8647 | test acc=0.6455
[66] train loss=-351.6112 acc=0.8641 | test acc=0.6424
[67] train loss=-352.8849 acc=0.8655 | test acc=0.6474
[68] train loss=-353.4384 acc=0.8680 | test acc=0.6431
[69] train loss=-353.9291 acc=0.8694 | test acc=0.6448
[70] train loss=-355.1296 acc=0.8689 | test acc=0.6430
[71] train loss=-356.3494 acc=0.8713 | test acc=0.6435
[72] train loss=-356.5793 acc=0.8725 | test acc=0.6425
[73] train loss=-357.7726 acc=0.8759 | test acc=0.6444
[74] train loss=-358.2624 acc=0.8752 | test acc=0.6451
[75] train loss=-358.6796 acc=0.8769 | test acc=0.6452
[76] train loss=-359.4882 acc=0.8777 | test acc=0.6410
[77] train loss=-360.5874 acc=0.8796 | test acc=0.6457
[78] train loss=-361.3903 acc=0.8813 | test acc=0.6476
[79] train loss=-362.0360 acc=0.8809 | test acc=0.6452
[80] train loss=-361.8679 acc=0.8817 | test acc=0.6429
[81] train loss=-362.8026 acc=0.8839 | test acc=0.6471
[82] train loss=-363.0974 acc=0.8846 | test acc=0.6494
[83] train loss=-364.5578 acc=0.8881 | test acc=0.6415
[84] train loss=-364.1630 acc=0.8855 | test acc=0.6446
[85] train loss=-366.0219 acc=0.8888 | test acc=0.6410
[86] train loss=-365.8905 acc=0.8892 | test acc=0.6445
[87] train loss=-365.9365 acc=0.8882 | test acc=0.6441
[88] train loss=-366.9299 acc=0.8898 | test acc=0.6445
[89] train loss=-367.6907 acc=0.8920 | test acc=0.6447
[90] train loss=-368.0921 acc=0.8914 | test acc=0.6438
[91] train loss=-368.0150 acc=0.8915 | test acc=0.6429
[92] train loss=-369.6155 acc=0.8946 | test acc=0.6433
[93] train loss=-369.7654 acc=0.8942 | test acc=0.6444
[94] train loss=-370.8214 acc=0.8946 | test acc=0.6434
[95] train loss=-370.7695 acc=0.8965 | test acc=0.6380
[96] train loss=-371.2885 acc=0.8967 | test acc=0.6413
[97] train loss=-372.1754 acc=0.8976 | test acc=0.6450
[98] train loss=-372.6505 acc=0.8980 | test acc=0.6449
[99] train loss=-373.0578 acc=0.8993 | test acc=0.6429
[100] train loss=-373.6579 acc=0.8999 | test acc=0.6378
=== DeepLDA with D=300 ===
[01] train loss=-0.0967 acc=0.0625 | test acc=0.0971
[02] train loss=-27.8064 acc=0.1493 | test acc=0.1666
[03] train loss=-54.9116 acc=0.2228 | test acc=0.2150
[04] train loss=-81.5904 acc=0.2832 | test acc=0.2755
[05] train loss=-107.8489 acc=0.3407 | test acc=0.2987
[06] train loss=-133.4493 acc=0.3890 | test acc=0.3460
[07] train loss=-158.4348 acc=0.4357 | test acc=0.4196
[08] train loss=-182.5483 acc=0.4761 | test acc=0.4402
[09] train loss=-205.7349 acc=0.5091 | test acc=0.4692
[10] train loss=-227.9784 acc=0.5389 | test acc=0.4698
[11] train loss=-248.8881 acc=0.5622 | test acc=0.5263
[12] train loss=-268.4531 acc=0.5850 | test acc=0.5169
[13] train loss=-286.6118 acc=0.6045 | test acc=0.5200
[14] train loss=-303.0958 acc=0.6213 | test acc=0.5489
[15] train loss=-318.0509 acc=0.6385 | test acc=0.5659
[16] train loss=-331.1475 acc=0.6502 | test acc=0.5812
[17] train loss=-342.4592 acc=0.6649 | test acc=0.5847
[18] train loss=-352.1170 acc=0.6758 | test acc=0.5997
[19] train loss=-360.1494 acc=0.6852 | test acc=0.6083
[20] train loss=-366.8570 acc=0.6965 | test acc=0.6058
[21] train loss=-372.5576 acc=0.7061 | test acc=0.6182
[22] train loss=-376.9297 acc=0.7158 | test acc=0.6211
[23] train loss=-381.1210 acc=0.7232 | test acc=0.6019
[24] train loss=-384.5590 acc=0.7302 | test acc=0.6142
[25] train loss=-388.3229 acc=0.7413 | test acc=0.6332
[26] train loss=-391.3376 acc=0.7483 | test acc=0.6304
[27] train loss=-393.8180 acc=0.7541 | test acc=0.6333
[28] train loss=-396.9437 acc=0.7597 | test acc=0.6335
[29] train loss=-399.5222 acc=0.7677 | test acc=0.6352
[30] train loss=-401.9580 acc=0.7739 | test acc=0.6394
[31] train loss=-403.6780 acc=0.7769 | test acc=0.6381
[32] train loss=-406.4455 acc=0.7826 | test acc=0.6351
[33] train loss=-408.3440 acc=0.7872 | test acc=0.6422
[34] train loss=-409.6853 acc=0.7890 | test acc=0.6352
[35] train loss=-411.7591 acc=0.7955 | test acc=0.6486
[36] train loss=-413.2645 acc=0.7980 | test acc=0.6405
[37] train loss=-415.3279 acc=0.8022 | test acc=0.6436
[38] train loss=-417.2708 acc=0.8068 | test acc=0.6453
[39] train loss=-419.1707 acc=0.8084 | test acc=0.6386
[40] train loss=-420.4512 acc=0.8116 | test acc=0.6461
[41] train loss=-422.4788 acc=0.8161 | test acc=0.6494
[42] train loss=-423.1539 acc=0.8174 | test acc=0.6443
[43] train loss=-424.7774 acc=0.8202 | test acc=0.6475
[44] train loss=-426.4043 acc=0.8241 | test acc=0.6461
[45] train loss=-428.0446 acc=0.8263 | test acc=0.6435
[46] train loss=-429.3366 acc=0.8287 | test acc=0.6502
[47] train loss=-430.4710 acc=0.8311 | test acc=0.6445
[48] train loss=-431.6057 acc=0.8336 | test acc=0.6467
[49] train loss=-433.2705 acc=0.8347 | test acc=0.6470
[50] train loss=-434.1012 acc=0.8368 | test acc=0.6453
[51] train loss=-436.0098 acc=0.8404 | test acc=0.6447
[52] train loss=-437.8379 acc=0.8440 | test acc=0.6459
[53] train loss=-437.6039 acc=0.8434 | test acc=0.6505
[54] train loss=-438.6766 acc=0.8459 | test acc=0.6470
[55] train loss=-440.2988 acc=0.8478 | test acc=0.6501
[56] train loss=-441.8356 acc=0.8497 | test acc=0.6459
[57] train loss=-442.7000 acc=0.8513 | test acc=0.6443
[58] train loss=-442.9848 acc=0.8517 | test acc=0.6486
[59] train loss=-445.1142 acc=0.8550 | test acc=0.6498
[60] train loss=-446.3592 acc=0.8558 | test acc=0.6474
[61] train loss=-446.3609 acc=0.8578 | test acc=0.6423
[62] train loss=-447.6275 acc=0.8589 | test acc=0.6452
[63] train loss=-448.4063 acc=0.8593 | test acc=0.6448
[64] train loss=-450.0365 acc=0.8632 | test acc=0.6462
[65] train loss=-450.3314 acc=0.8632 | test acc=0.6447
[66] train loss=-451.6252 acc=0.8664 | test acc=0.6425
[67] train loss=-452.5953 acc=0.8660 | test acc=0.6458
[68] train loss=-453.4771 acc=0.8678 | test acc=0.6448
[69] train loss=-454.2877 acc=0.8690 | test acc=0.6459
[70] train loss=-455.6604 acc=0.8702 | test acc=0.6460
[71] train loss=-456.6764 acc=0.8727 | test acc=0.6422
[72] train loss=-456.5933 acc=0.8740 | test acc=0.6403
[73] train loss=-457.6761 acc=0.8740 | test acc=0.6477
[74] train loss=-458.8028 acc=0.8758 | test acc=0.6441
[75] train loss=-459.4299 acc=0.8766 | test acc=0.6391
[76] train loss=-460.4911 acc=0.8796 | test acc=0.6409
[77] train loss=-461.6770 acc=0.8800 | test acc=0.6489
[78] train loss=-462.4595 acc=0.8817 | test acc=0.6420
[79] train loss=-462.4850 acc=0.8801 | test acc=0.6392
[80] train loss=-464.0295 acc=0.8831 | test acc=0.6432
[81] train loss=-464.8144 acc=0.8822 | test acc=0.6486
[82] train loss=-465.0626 acc=0.8824 | test acc=0.6441
[83] train loss=-466.2948 acc=0.8854 | test acc=0.6389
